gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or More Races (non-Hispanic),Hispanic or Latino,Source
G0900030480500,Enfield,tract 4805,,3253,87,2845,105,5,92,0,3,46,157,2010 Census - Social Explorer
G0900030480600,Enfield,tract 4806,,4955,68,3351,440,16,172,3,10,191,772,2010 Census - Social Explorer
G0900030480700,Enfield,tract 4807,,2210,87,1921,63,2,22,0,3,60,139,2010 Census - Social Explorer
G0900030480800,Enfield,tract 4808,,4425,91,4012,111,2,95,4,6,57,138,2010 Census - Social Explorer
G0900030480900,Enfield,tract 4809,,2246,89,2005,65,4,43,0,3,45,81,2010 Census - Social Explorer
G0900030481000,Enfield,tract 4810,,3644,93,3393,57,0,69,0,5,39,81,2010 Census - Social Explorer
G0900030481100,Enfield,tract 4811,,3855,93,3597,61,1,55,0,8,36,97,2010 Census - Social Explorer
G0900030481200,Enfield,tract 4812,,3769,89,3362,111,6,100,2,2,53,133,2010 Census - Social Explorer
G0900030481300,Enfield,tract 4813,,3032,93,2825,37,3,44,0,0,40,83,2010 Census - Social Explorer
G0900030484100,East Windsor,tract 4841,,5527,81,4452,300,4,423,0,10,80,258,2010 Census - Social Explorer
G0900030484200,East Windsor,tract 4842,,5635,82,4616,442,8,95,0,11,80,383,2010 Census - Social Explorer
G0900030487100,South Windsor,tract 4871,,6781,84,5674,221,9,439,3,11,108,316,2010 Census - Social Explorer
G0900030487201,South Windsor,tract 4872.01,,4567,87,3983,104,5,259,0,5,60,151,2010 Census - Social Explorer
G0900030487202,South Windsor,tract 4872.02,,3659,83,3049,105,7,367,3,2,35,91,2010 Census - Social Explorer
G0900030487300,South Windsor,tract 4873,,1595,84,1345,58,1,76,1,0,25,89,2010 Census - Social Explorer
G0900030487400,South Windsor,tract 4874,,2317,83,1924,119,4,122,2,2,40,104,2010 Census - Social Explorer
G0900030487500,South Windsor,tract 4875,,6790,76,5139,334,7,812,4,10,135,349,2010 Census - Social Explorer
G0900030490100,Rocky Hill,tract 4901,,5316,80,4251,253,10,310,0,13,65,414,2010 Census - Social Explorer
G0900030490302,Rocky Hill,tract 4903.02,,8249,75,6192,243,6,1355,1,3,85,364,2010 Census - Social Explorer
G0900030492100,Wethersfield,tract 4921,,3319,88,2907,65,6,100,0,9,59,173,2010 Census - Social Explorer
G0900030492200,Wethersfield,tract 4922,,4163,80,3331,140,6,126,1,3,59,497,2010 Census - Social Explorer
G0900030492300,Wethersfield,tract 4923,,5815,73,4264,313,4,212,1,26,95,900,2010 Census - Social Explorer
G0900030492400,Wethersfield,tract 4924,,2967,89,2637,70,4,83,0,3,29,141,2010 Census - Social Explorer
G0900030492500,Wethersfield,tract 4925,,3433,93,3202,21,0,81,0,2,6,121,2010 Census - Social Explorer
G0900030492600,Wethersfield,tract 4926,,6971,90,6259,129,1,155,2,2,70,353,2010 Census - Social Explorer
G0900030494100,Newington,tract 4941,,6048,76,4609,290,2,497,1,9,101,539,2010 Census - Social Explorer
G0900030494201,Newington,tract 4942.01,,4822,84,4064,169,9,204,0,0,59,317,2010 Census - Social Explorer
G0900030494202,Newington,tract 4942.02,,2815,82,2318,103,0,169,0,8,53,164,2010 Census - Social Explorer
G0900030494300,Newington,tract 4943,,4140,85,3524,80,7,169,0,4,55,301,2010 Census - Social Explorer
G0900030494400,Newington,tract 4944,,4758,87,4118,95,2,140,0,0,50,353,2010 Census - Social Explorer
G0900030494500,Newington,tract 4945,,4497,81,3644,155,3,221,0,4,90,380,2010 Census - Social Explorer
G0900030494600,Newington,tract 4946,,3482,79,2744,104,1,327,1,10,41,254,2010 Census - Social Explorer
G0900030496100,West Hartford,tract 4961,,2691,30,806,520,6,445,0,33,44,837,2010 Census - Social Explorer
