gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or more races (non-Hispanic),Hispanic or Latino,Source
G0900030471200,Bloomfield,tract 4712,,3173,14,431,2161,7,45,0,0,14,515,ACS 2014-18 - Social Explorer
G0900030471300,Bloomfield,tract 4713,,4500,34,1512,2792,0,100,0,0,56,40,ACS 2014-18 - Social Explorer
G0900030471400,Bloomfield,tract 4714,,5272,58,3073,1341,0,272,0,0,154,432,ACS 2014-18 - Social Explorer
G0900030471500,Bloomfield,tract 4715,,3964,24,953,2469,9,136,0,1,124,272,ACS 2014-18 - Social Explorer
G0900030473100,Windsor,tract 4731,,6500,33,2167,3931,0,36,0,0,0,366,ACS 2014-18 - Social Explorer
G0900030473400,Windsor,tract 4734,,1703,67,1144,256,0,15,0,14,50,224,ACS 2014-18 - Social Explorer
G0900030473501,Windsor,tract 4735.01,,4244,59,2516,957,0,360,0,9,68,334,ACS 2014-18 - Social Explorer
G0900030473502,Windsor,tract 4735.02,,3031,64,1944,607,0,205,0,0,74,201,ACS 2014-18 - Social Explorer
G0900030473601,Windsor,tract 4736.01,,3226,68,2178,659,0,33,0,0,81,275,ACS 2014-18 - Social Explorer
G0900030473602,Windsor,tract 4736.02,,2539,44,1122,683,0,399,0,0,32,303,ACS 2014-18 - Social Explorer
G0900030473700,Windsor,tract 4737,,5847,33,1940,2968,0,132,0,47,42,718,ACS 2014-18 - Social Explorer
G0900030473800,Windsor,tract 4738,,1827,14,250,1121,0,259,29,12,28,128,ACS 2014-18 - Social Explorer
G0900030476100,Windsor Locks,tract 4761,,4729,79,3732,405,8,279,0,0,74,231,ACS 2014-18 - Social Explorer
G0900030476200,Windsor Locks,tract 4762,,2762,93,2574,0,0,94,0,0,20,74,ACS 2014-18 - Social Explorer
G0900030476300,Windsor Locks,tract 4763,,5122,78,4008,313,0,312,0,39,250,200,ACS 2014-18 - Social Explorer
G0900030477101,Suffield,tract 4771.01,,4111,95,3914,30,0,59,0,7,22,79,ACS 2014-18 - Social Explorer
G0900030477102,Suffield,tract 4771.02,,8722,68,5892,1406,8,317,0,0,194,905,ACS 2014-18 - Social Explorer
G0900030477200,Suffield,tract 4772,,2829,92,2615,43,0,0,0,0,92,79,ACS 2014-18 - Social Explorer
G0900030480300,Enfield,tract 4803,,2221,89,1976,71,0,0,0,0,18,156,ACS 2014-18 - Social Explorer
G0900030480400,Enfield,tract 4804,,3747,86,3240,78,0,193,0,19,0,217,ACS 2014-18 - Social Explorer
G0900030480500,Enfield,tract 4805,,3405,80,2718,22,25,95,0,0,154,391,ACS 2014-18 - Social Explorer
G0900030480600,Enfield,tract 4806,,4548,49,2220,539,0,263,0,0,166,1360,ACS 2014-18 - Social Explorer
G0900030480700,Enfield,tract 4807,,2401,75,1806,168,0,120,0,0,88,219,ACS 2014-18 - Social Explorer
G0900030480800,Enfield,tract 4808,,4689,78,3663,93,175,99,0,0,243,416,ACS 2014-18 - Social Explorer
G0900030480900,Enfield,tract 4809,,2239,91,2041,40,0,79,0,0,43,36,ACS 2014-18 - Social Explorer
G0900030481000,Enfield,tract 4810,,3642,92,3344,72,0,105,0,0,34,87,ACS 2014-18 - Social Explorer
G0900030481100,Enfield,tract 4811,,3884,87,3361,86,0,0,0,10,124,303,ACS 2014-18 - Social Explorer
G0900030481200,Enfield,tract 4812,,4097,81,3317,333,0,68,0,0,142,237,ACS 2014-18 - Social Explorer
G0900030481300,Enfield,tract 4813,,2933,93,2733,62,0,64,0,0,33,41,ACS 2014-18 - Social Explorer
G0900030484100,East Windsor,tract 4841,,5204,79,4099,323,1,527,0,0,100,154,ACS 2014-18 - Social Explorer
G0900030484200,East Windsor,tract 4842,,6175,76,4705,593,0,113,0,1,193,570,ACS 2014-18 - Social Explorer
G0900030487100,South Windsor,tract 4871,,7000,78,5444,293,0,523,0,0,114,626,ACS 2014-18 - Social Explorer
G0900030487201,South Windsor,tract 4872.01,,4613,79,3663,73,0,341,0,0,73,463,ACS 2014-18 - Social Explorer
G0900030487202,South Windsor,tract 4872.02,,3571,78,2780,86,0,483,0,0,0,222,ACS 2014-18 - Social Explorer
G0900030487300,South Windsor,tract 4873,,1581,82,1291,30,0,203,0,0,0,57,ACS 2014-18 - Social Explorer
G0900030487400,South Windsor,tract 4874,,2377,80,1908,87,8,112,0,0,60,202,ACS 2014-18 - Social Explorer
G0900030487500,South Windsor,tract 4875,,6681,76,5048,54,0,1004,0,0,395,180,ACS 2014-18 - Social Explorer
G0900030490100,Rocky Hill,tract 4901,,5675,70,3981,174,0,1175,0,0,50,295,ACS 2014-18 - Social Explorer
G0900030490302,Rocky Hill,tract 4903.02,,8133,65,5317,237,0,2042,0,50,279,208,ACS 2014-18 - Social Explorer
G0900030492100,Wethersfield,tract 4921,,3411,85,2916,89,0,135,0,0,74,197,ACS 2014-18 - Social Explorer
G0900030492200,Wethersfield,tract 4922,,4028,72,2891,357,12,104,0,0,46,618,ACS 2014-18 - Social Explorer
G0900030492300,Wethersfield,tract 4923,,5784,68,3928,268,11,493,0,0,231,853,ACS 2014-18 - Social Explorer
G0900030492400,Wethersfield,tract 4924,,3153,87,2731,2,0,182,0,68,38,132,ACS 2014-18 - Social Explorer
G0900030492500,Wethersfield,tract 4925,,3366,84,2842,207,0,96,0,0,69,152,ACS 2014-18 - Social Explorer
G0900030492600,Wethersfield,tract 4926,,6525,88,5725,50,0,120,0,0,123,507,ACS 2014-18 - Social Explorer
G0900030494100,Newington,tract 4941,,5662,74,4186,397,40,398,0,0,146,495,ACS 2014-18 - Social Explorer
G0900030494201,Newington,tract 4942.01,,4703,81,3797,135,0,382,0,0,151,238,ACS 2014-18 - Social Explorer
G0900030494202,Newington,tract 4942.02,,2666,76,2032,301,0,95,0,0,74,164,ACS 2014-18 - Social Explorer
G0900030494300,Newington,tract 4943,,4375,81,3540,101,0,278,0,0,37,419,ACS 2014-18 - Social Explorer
G0900030494400,Newington,tract 4944,,4903,79,3851,82,0,191,0,31,91,657,ACS 2014-18 - Social Explorer
G0900030494500,Newington,tract 4945,,4548,72,3265,247,14,153,0,0,160,709,ACS 2014-18 - Social Explorer
G0900030494600,Newington,tract 4946,,3466,75,2600,313,21,204,0,74,68,186,ACS 2014-18 - Social Explorer
G0900030496100,West Hartford,tract 4961,,2921,25,733,544,0,490,0,87,65,1002,ACS 2014-18 - Social Explorer
G0900030496200,West Hartford,tract 4962,,4626,66,3059,131,12,568,0,35,130,691,ACS 2014-18 - Social Explorer
G0900030496300,West Hartford,tract 4963,,3737,71,2666,96,0,160,0,32,69,714,ACS 2014-18 - Social Explorer
G0900030496400,West Hartford,tract 4964,,2962,89,2644,75,0,95,0,7,79,62,ACS 2014-18 - Social Explorer
G0900030496500,West Hartford,tract 4965,,2665,88,2335,2,0,162,0,0,32,134,ACS 2014-18 - Social Explorer
G0900030496600,West Hartford,tract 4966,,2722,80,2186,44,0,311,0,0,22,159,ACS 2014-18 - Social Explorer
G0900030496700,West Hartford,tract 4967,,3693,48,1787,559,0,426,0,0,96,825,ACS 2014-18 - Social Explorer
G0900030496800,West Hartford,tract 4968,,3173,48,1514,289,0,352,0,175,112,731,ACS 2014-18 - Social Explorer
G0900030496900,West Hartford,tract 4969,,6259,71,4446,656,0,271,0,0,63,823,ACS 2014-18 - Social Explorer
G0900030497000,West Hartford,tract 4970,,4466,91,4065,8,0,130,0,0,36,227,ACS 2014-18 - Social Explorer
G0900030497100,West Hartford,tract 4971,,4024,83,3320,129,0,206,0,0,50,319,ACS 2014-18 - Social Explorer
G0900030497200,West Hartford,tract 4972,,2279,80,1813,192,0,120,0,0,10,144,ACS 2014-18 - Social Explorer
G0900030497300,West Hartford,tract 4973,,5151,76,3935,334,61,480,0,7,79,255,ACS 2014-18 - Social Explorer
G0900030497400,West Hartford,tract 4974,,4085,86,3498,180,0,147,0,2,67,191,ACS 2014-18 - Social Explorer
G0900030497500,West Hartford,tract 4975,,3628,69,2490,252,0,404,0,0,135,347,ACS 2014-18 - Social Explorer
G0900030497600,West Hartford,tract 4976,,2237,88,1961,60,6,95,0,4,36,75,ACS 2014-18 - Social Explorer
G0900030497700,West Hartford,tract 4977,,4499,85,3825,96,0,332,0,33,82,131,ACS 2014-18 - Social Explorer
G0900030500100,Hartford,tract 5001,,4058,1,54,633,0,230,0,0,0,3141,ACS 2014-18 - Social Explorer
G0900030500200,Hartford,tract 5002,,2716,7,189,568,0,155,0,10,23,1771,ACS 2014-18 - Social Explorer
G0900030500300,Hartford,tract 5003,,2204,14,298,547,0,27,0,0,26,1306,ACS 2014-18 - Social Explorer
G0900030500400,Hartford,tract 5004,,1685,12,209,332,0,19,0,20,46,1059,ACS 2014-18 - Social Explorer
G0900030500500,Hartford,tract 5005,,1465,13,193,348,5,423,0,3,51,442,ACS 2014-18 - Social Explorer
G0900030500700,Hartford,tract 5007,,991,35,347,370,0,0,0,0,10,264,ACS 2014-18 - Social Explorer
G0900030500900,Hartford,tract 5009,,2375,3,60,786,0,0,0,0,11,1518,ACS 2014-18 - Social Explorer
G0900030501200,Hartford,tract 5012,,2927,5,143,1748,19,0,0,0,12,1005,ACS 2014-18 - Social Explorer
G0900030501300,Hartford,tract 5013,,1791,1,18,1185,0,0,0,0,15,573,ACS 2014-18 - Social Explorer
G0900030501400,Hartford,tract 5014,,2440,2,38,1754,0,0,0,0,110,538,ACS 2014-18 - Social Explorer
G0900030501500,Hartford,tract 5015,,3041,2,59,2468,0,0,0,24,20,470,ACS 2014-18 - Social Explorer
G0900030501700,Hartford,tract 5017,,1743,0,0,573,0,49,0,0,62,1059,ACS 2014-18 - Social Explorer
G0900030501800,Hartford,tract 5018,,3169,2,67,1216,0,0,0,6,10,1870,ACS 2014-18 - Social Explorer
G0900030502100,Hartford,tract 5021,,2322,52,1204,352,0,381,0,0,57,328,ACS 2014-18 - Social Explorer
G0900030502300,Hartford,tract 5023,,6099,18,1120,1398,0,232,0,48,91,3210,ACS 2014-18 - Social Explorer
G0900030502400,Hartford,tract 5024,,6211,14,867,782,0,9,0,13,76,4464,ACS 2014-18 - Social Explorer
G0900030502500,Hartford,tract 5025,,2189,12,266,619,3,11,0,45,212,1033,ACS 2014-18 - Social Explorer
G0900030502600,Hartford,tract 5026,,3710,16,576,663,0,175,0,23,122,2151,ACS 2014-18 - Social Explorer
G0900030502700,Hartford,tract 5027,,5218,33,1730,765,12,119,0,27,283,2282,ACS 2014-18 - Social Explorer
G0900030502800,Hartford,tract 5028,,2720,5,132,263,0,1,0,11,26,2287,ACS 2014-18 - Social Explorer
G0900030502900,Hartford,tract 5029,,2867,17,496,712,0,123,0,15,0,1521,ACS 2014-18 - Social Explorer
G0900030503000,Hartford,tract 5030,,2806,9,240,819,0,44,0,0,5,1698,ACS 2014-18 - Social Explorer
G0900030503100,Hartford,tract 5031,,3997,20,800,1666,9,248,0,96,138,1040,ACS 2014-18 - Social Explorer
G0900030503300,Hartford,tract 5033,,2970,5,146,1548,0,21,0,36,102,1117,ACS 2014-18 - Social Explorer
G0900030503500,Hartford,tract 5035,,1561,1,9,1061,0,0,0,0,22,469,ACS 2014-18 - Social Explorer
G0900030503700,Hartford,tract 5037,,2528,2,47,2174,0,8,0,14,123,162,ACS 2014-18 - Social Explorer
G0900030503800,Hartford,tract 5038,,2885,62,1780,643,4,50,0,22,45,341,ACS 2014-18 - Social Explorer
G0900030503900,Hartford,tract 5039,,4652,2,114,4090,0,0,0,10,80,358,ACS 2014-18 - Social Explorer
G0900030504000,Hartford,tract 5040,,3128,2,54,2907,0,9,0,0,101,57,ACS 2014-18 - Social Explorer
G0900030504100,Hartford,tract 5041,,1648,9,144,377,0,35,0,0,8,1084,ACS 2014-18 - Social Explorer
G0900030504200,Hartford,tract 5042,,5211,37,1954,1059,0,391,0,16,194,1597,ACS 2014-18 - Social Explorer
G0900030504300,Hartford,tract 5043,,3081,20,606,536,0,61,0,6,46,1826,ACS 2014-18 - Social Explorer
G0900030504500,Hartford,tract 5045,,3514,5,189,622,0,39,0,27,95,2542,ACS 2014-18 - Social Explorer
G0900030504800,Hartford,tract 5048,,4630,16,731,782,0,176,0,144,45,2752,ACS 2014-18 - Social Explorer
G0900030504900,Hartford,tract 5049,,4784,14,686,1068,0,30,0,150,87,2763,ACS 2014-18 - Social Explorer
G0900030510100,East Hartford,tract 5101,,2085,32,662,574,0,96,0,0,34,719,ACS 2014-18 - Social Explorer
G0900030510200,East Hartford,tract 5102,,2653,30,802,928,7,214,0,0,12,690,ACS 2014-18 - Social Explorer
