gisjoin,town,area,num,pop,pctwnh,White,Negro,Other Races,Puerto Rican or Spanish Surname,Source
G0900030WE0155,Wethersfield,tract,155,4748,100,4748,0,0,0,1960 Census - Social Explorer
G0900030WE0156,Wethersfield,tract,156,4535,100,4517,16,2,0,1960 Census - Social Explorer
G0900030WE0157,Wethersfield,tract,157,2617,100,2609,8,0,0,1960 Census - Social Explorer
G0900030WE0158,Wethersfield,tract,158,2068,100,2067,1,0,0,1960 Census - Social Explorer
G0900030WE0159,Wethersfield,tract,159,2546,100,2546,0,0,0,1960 Census - Social Explorer
G0900030WH0101,West Hartford,tract,101,2637,98,2626,0,11,44,1960 Census - Social Explorer
G0900030WH0102,West Hartford,tract,102,4848,100,4844,4,0,0,1960 Census - Social Explorer
G0900030WH0103,West Hartford,tract,103,4320,100,4318,2,0,0,1960 Census - Social Explorer
G0900030WH0104,West Hartford,tract,104,5785,100,5771,13,1,0,1960 Census - Social Explorer
G0900030WH0105,West Hartford,tract,105,2798,100,2792,6,0,0,1960 Census - Social Explorer
G0900030WH0106,West Hartford,tract,106,3909,100,3908,0,1,0,1960 Census - Social Explorer
G0900030WH0107,West Hartford,tract,107,3899,100,3894,0,5,0,1960 Census - Social Explorer
G0900030WH0108,West Hartford,tract,108,6957,100,6948,6,3,0,1960 Census - Social Explorer
G0900030WH0109,West Hartford,tract,109,4625,99,4601,23,1,0,1960 Census - Social Explorer
G0900030WH0110,West Hartford,tract,110,4193,100,4177,9,7,0,1960 Census - Social Explorer
G0900030WH0111,West Hartford,tract,111,6243,98,6151,84,8,4,1960 Census - Social Explorer
G0900030WH0112,West Hartford,tract,112,6839,99,6788,44,7,0,1960 Census - Social Explorer
G0900030WH0113,West Hartford,tract,113,2743,99,2730,12,1,15,1960 Census - Social Explorer
G0900030WH0114,West Hartford,tract,114,2586,99,2559,26,1,0,1960 Census - Social Explorer
G0900030WI0119,Windsor,tract,119,2993,99,2974,14,5,0,1960 Census - Social Explorer
G0900030WI0120,Windsor,tract,120,4962,98,4855,95,12,10,1960 Census - Social Explorer
G0900030WI0121,Windsor,tract,121,3085,100,3080,5,0,0,1960 Census - Social Explorer
G0900030WI0122,Windsor,tract,122,2518,98,2468,50,0,0,1960 Census - Social Explorer
G0900030WI0123,Windsor,tract,123,5909,83,5223,683,3,303,1960 Census - Social Explorer
G0900030WL0174,Windsor Locks,tract,174,11411,99,11304,105,2,11,1960 Census - Social Explorer
