gisjoin,town,Geo_FIPS,area,num,pop,popw,popblack,popother,popnw,pctw,pctnw
G09000305020,Hartford,9003502000,tract,5020,934,896,38,0,38,96,4
G09000304964,West Hartford,9003496400,tract,4964,3527,3466,61,0,61,98,2
G09000305026,Hartford,9003502600,tract,5026,4925,4919,0,6,6,100,0
G09000305031,Hartford,9003503100,tract,5031,4613,4389,164,60,224,95,5
G09000304731,Windsor,9003473100,tract,4731,3963,3923,14,26,40,99,1
G09000304602,Farmington,9003460200,tract,4602,6025,5990,23,12,35,99,1
G09000304058,Bristol,9003405800,tract,4058,4417,4342,69,6,75,98,2
G09000305106,East Hartford,9003510600,tract,5106,5025,4967,38,20,58,99,1
G09000304733,Windsor,9003473300,tract,4733,3268,3263,5,0,5,100,0
G09000304681,Granby,9003468100,tract,4681,6053,5993,31,29,60,99,1
G09000304155,New Britain,9003415500,tract,4155,3175,3026,131,18,149,95,5
G09000305016,Hartford,9003501600,tract,5016,1090,940,150,0,150,86,14
G09000305012,Hartford,9003501200,tract,5012,2872,147,2716,9,2725,5,95
G09000304302,Southington,9003430200,tract,4302,7245,7200,34,11,45,99,1
G09000305019,Hartford,9003501900,tract,5019,1136,1136,0,0,0,100,0
G09000304965,West Hartford,9003496500,tract,4965,3270,3265,5,0,5,100,0
G09000304808,Enfield,9003480800,tract,4808,2745,2745,0,0,0,100,0
G09000304811,Enfield,9003481100,tract,4811,5397,5397,0,0,0,100,0
G09000304925,Wethersfield,9003492500,tract,4925,2546,2507,34,5,39,98,2
G09000304963,West Hartford,9003496300,tract,4963,4045,4045,0,0,0,100,0
G09000304601,Farmington,9003460100,tract,4601,2561,2555,6,0,6,100,0
G09000304762,Windsor Locks,9003476200,tract,4762,3687,3616,71,0,71,98,2
G09000304967,West Hartford,9003496700,tract,4967,3643,3609,17,17,34,99,1
G09000304801,Enfield,9003480100,tract,4801,313,189,124,0,124,60,40
G09000305006,Hartford,9003500600,tract,5006,60,47,13,0,13,78,22
G09000304813,Enfield,9003481300,tract,4813,3234,3188,46,0,46,99,1
G09000304156,New Britain,9003415600,tract,4156,3779,3754,25,0,25,99,1
G09000304713,Bloomfield,9003471300,tract,4713,5490,5354,136,0,136,98,2
G09000304874,South Windsor,9003487400,tract,4874,2211,2174,26,11,37,98,2
G09000305105,East Hartford,9003510500,tract,5105,3070,3008,51,11,62,98,2
G09000304166,New Britain,9003416600,tract,4166,3723,3181,512,30,542,85,15
G09000304923,Wethersfield,9003492300,tract,4923,5804,5760,36,8,44,99,1
G09000304901,Rocky Hill,9003490100,tract,4901,4423,4418,5,0,5,100,0
G09000304203,Plainville,9003420300,tract,4203,3182,3145,17,20,37,99,1
G09000304052,Bristol,9003405200,tract,4052,5166,5105,52,9,61,99,1
G09000304942,Newington,9003494200,tract,4942,4701,4667,0,34,34,99,1
G09000304926,Wethersfield,9003492600,tract,4926,5818,5803,12,3,15,100,0
G09000304056,Bristol,9003405600,tract,4056,7087,7060,0,27,27,100,0
G09000305149,Manchester,9003514900,tract,5149,3893,3893,0,0,0,100,0
G09000304804,Enfield,9003480400,tract,4804,5789,5789,0,0,0,100,0
G09000305046,Hartford,9003504600,tract,5046,4034,2193,1822,19,1841,54,46
G09000304812,Enfield,9003481200,tract,4812,3252,3225,21,6,27,99,1
G09000304641,Canton,9003464100,tract,4641,6868,6772,63,33,96,99,1
G09000304970,West Hartford,9003497000,tract,4970,4906,4863,23,20,43,99,1
G09000304974,West Hartford,9003497400,tract,4974,4209,4152,52,5,57,99,1
G09000305110,East Hartford,9003511000,tract,5110,4617,4541,27,49,76,98,2
G09000305205,Glastonbury,9003520500,tract,5205,3169,3165,0,4,4,100,0
G09000304944,Newington,9003494400,tract,4944,5778,5741,33,4,37,99,1
G09000304761,Windsor Locks,9003476100,tract,4761,4833,4720,103,10,113,98,2
G09000304169,New Britain,9003416900,tract,4169,2290,2265,19,6,25,99,1
G09000304968,West Hartford,9003496800,tract,4968,4025,4025,0,0,0,100,0
G09000304941,Newington,9003494100,tract,4941,2582,2582,0,0,0,100,0
G09000305022,Hartford,9003502200,tract,5022,1090,988,82,20,102,91,9
G09000304158,New Britain,9003415800,tract,4158,2901,2886,11,4,15,99,1
G09000304152,New Britain,9003415200,tract,4152,1511,1389,122,0,122,92,8
G09000304664,Simsbury,9003466400,tract,4664,1843,1794,39,10,49,97,3
G09000304060,Bristol,9003406000,tract,4060,8347,8144,184,19,203,98,2
G09000304057,Bristol,9003405700,tract,4057,4397,4349,39,9,48,99,1
G09000305147,Manchester,9003514700,tract,5147,3749,3734,15,0,15,100,0
G09000304977,West Hartford,9003497700,tract,4977,4325,4274,51,0,51,99,1
G09000304701,East Granby,9003470100,tract,4701,3532,3473,59,0,59,98,2
G09000304921,Wethersfield,9003492100,tract,4921,3908,3832,66,10,76,98,2
G09000304202,Plainville,9003420200,tract,4202,7379,7128,189,62,251,97,3
G09000304160,New Britain,9003416000,tract,4160,4881,4824,39,18,57,99,1
G09000304922,Wethersfield,9003492200,tract,4922,5158,5154,0,4,4,100,0
G09000304805,Enfield,9003480500,tract,4805,3552,3547,0,5,5,100,0
G09000304055,Bristol,9003405500,tract,4055,7265,7222,43,0,43,99,1
G09000305109,East Hartford,9003510900,tract,5109,5164,5164,0,0,0,100,0
G09000305037,Hartford,9003503700,tract,5037,3789,1021,2736,32,2768,27,73
G09000305025,Hartford,9003502500,tract,5025,1712,1673,0,39,39,98,2
G09000305035,Hartford,9003503500,tract,5035,2597,860,1701,36,1737,33,67
G09000304621,Avon,9003462100,tract,4621,4081,4059,16,6,22,99,1
G09000305009,Hartford,9003500900,tract,5009,3621,600,2922,99,3021,17,83
G09000304304,Southington,9003430400,tract,4304,3581,3575,0,6,6,100,0
G09000305003,Hartford,9003500300,tract,5003,5020,4867,133,20,153,97,3
G09000304875,South Windsor,9003487500,tract,4875,1749,1749,0,0,0,100,0
G09000305023,Hartford,9003502300,tract,5023,4816,4778,27,11,38,99,1
G09000305113,East Hartford,9003511300,tract,5113,3560,3560,0,0,0,100,0
G09000304201,Plainville,9003420100,tract,4201,6172,6117,55,0,55,99,1
G09000304735,Windsor,9003473500,tract,4735,3445,3375,65,5,70,98,2
G09000305044,Hartford,9003504400,tract,5044,4323,4261,11,51,62,99,1
G09000304975,West Hartford,9003497500,tract,4975,4089,4057,0,32,32,99,1
G09000305111,East Hartford,9003511100,tract,5111,4541,4541,0,0,0,100,0
G09000305104,East Hartford,9003510400,tract,5104,6096,6040,31,25,56,99,1
G09000305033,Hartford,9003503300,tract,5033,2639,2291,287,61,348,87,13
G09000305013,Hartford,9003501300,tract,5013,3651,621,3030,0,3030,17,83
G09000304806,Enfield,9003480600,tract,4806,5033,5023,10,0,10,100,0
G09000304924,Wethersfield,9003492400,tract,4924,3428,3414,14,0,14,100,0
G09000304059,Bristol,9003405900,tract,4059,3696,3680,0,16,16,100,0
G09000304603,Farmington,9003460300,tract,4603,5804,5765,34,5,39,99,1
G09000305045,Hartford,9003504500,tract,5045,4729,4637,92,0,92,98,2
G09000304902,Rocky Hill,9003490200,tract,4902,1139,1069,70,0,70,94,6
G09000305144,Manchester,9003514400,tract,5144,4969,4927,22,20,42,99,1
G09000304003,Berlin,9003400300,tract,4003,6217,6217,0,0,0,100,0
G09000305040,Hartford,9003504000,tract,5040,4375,2596,1716,63,1779,59,41
G09000304151,New Britain,9003415100,tract,4151,1763,1716,47,0,47,97,3
G09000305102,East Hartford,9003510200,tract,5102,2802,2750,52,0,52,98,2
G09000305015,Hartford,9003501500,tract,5015,5737,580,5152,5,5157,10,90
G09000304159,New Britain,9003415900,tract,4159,3304,3243,53,8,61,98,2
G09000305027,Hartford,9003502700,tract,5027,5413,5223,122,68,190,96,4
G09000304161,New Britain,9003416100,tract,4161,5168,5030,134,4,138,97,3
G09000304153,New Britain,9003415300,tract,4153,2835,2769,59,7,66,98,2
G09000305143,Manchester,9003514300,tract,5143,5281,5264,0,17,17,100,0
G09000305152,Manchester,9003515200,tract,5152,1822,1822,0,0,0,100,0
G09000304163,New Britain,9003416300,tract,4163,3906,3714,192,0,192,95,5
G09000305014,Hartford,9003501400,tract,5014,4518,443,4044,31,4075,10,90
G09000304154,New Britain,9003415400,tract,4154,6367,6115,223,29,252,96,4
G09000304711,Bloomfield,9003471100,tract,4711,4071,2875,1196,0,1196,71,29
G09000304802,Enfield,9003480200,tract,4802,3681,3681,0,0,0,100,0
G09000304051,Bristol,9003405100,tract,4051,3662,3658,0,4,4,100,0
G09000305011,Hartford,9003501100,tract,5011,1359,142,1204,13,1217,10,90
G09000305038,Hartford,9003503800,tract,5038,3771,2073,1639,59,1698,55,45
G09000305030,Hartford,9003503000,tract,5030,3157,3157,0,0,0,100,0
G09000304164,New Britain,9003416400,tract,4164,3722,3672,23,27,50,99,1
G09000304973,West Hartford,9003497300,tract,4973,4895,4874,18,3,21,100,0
G09000305202,Glastonbury,9003520200,tract,5202,2508,2508,0,0,0,100,0
G09000305043,Hartford,9003504300,tract,5043,3303,3263,14,26,40,99,1
G09000304763,Windsor Locks,9003476300,tract,4763,6545,6490,26,29,55,99,1
G09000304945,Newington,9003494500,tract,4945,5494,5456,38,0,38,99,1
G09000304301,Southington,9003430100,tract,4301,4488,4475,6,7,13,100,0
G09000304961,West Hartford,9003496100,tract,4961,2805,2796,0,9,9,100,0
G09000304803,Enfield,9003480300,tract,4803,3267,3197,70,0,70,98,2
G09000304771,Suffield,9003477100,tract,4771,6361,6215,140,6,146,98,2
G09000304305,Southington,9003430500,tract,4305,4839,4811,23,5,28,99,1
G09000305034,Hartford,9003503400,tract,5034,2941,2449,431,61,492,83,17
G09000304002,Berlin,9003400200,tract,4002,2488,2449,34,5,39,98,2
G09000304734,Windsor,9003473400,tract,4734,2223,2210,13,0,13,99,1
G09000305021,Hartford,9003502100,tract,5021,825,799,26,0,26,97,3
G09000305005,Hartford,9003500500,tract,5005,1136,1110,26,0,26,98,2
G09000305008,Hartford,9003500800,tract,5008,1713,1074,630,9,639,63,37
G09000304971,West Hartford,9003497100,tract,4971,4137,4137,0,0,0,100,0
